Time[s]	Voltage[kV]	Displacement[$\mu$-m]
2.207605648468503290e+01	-3.392236979020341048e-01	1.427965780619446234e-01
2.210750385859483913e+01	-4.643716565009122776e-01	8.550873084367287269e-02
2.213895123250464536e+01	-5.890604184805500187e-01	2.826996024244913391e-02
2.217039860641445514e+01	-7.131666846318973629e-01	-2.884506364169251227e-02
2.220184598032426138e+01	-8.365677317502571153e-01	-8.576340788594720432e-02
2.223329335423407116e+01	-9.591415339909395987e-01	-1.424138497896666189e-01
2.226474072814387739e+01	-1.080766883535118517e+00	-1.987268306295181253e-01
2.229618810205368362e+01	-1.201323510446986154e+00	-2.546344286485980879e-01
2.232763547596349341e+01	-1.320692201603339111e+00	-3.100703144577588999e-01
2.235908284987329964e+01	-1.438754918578129427e+00	-3.649697258062336025e-01
2.239053022378310942e+01	-1.555394914365544334e+00	-4.192694306437905194e-01
2.242197759769291565e+01	-1.670496848825856695e+00	-4.729077063850302132e-01
2.245342497160272544e+01	-1.783946902740300322e+00	-5.258243129206759958e-01
2.248487234551253167e+01	-1.895632890361763856e+00	-5.779604778907138085e-01
2.251631971942233790e+01	-2.005444370350409677e+00	-6.292588803305410039e-01
2.254776709333214768e+01	-2.113272754984198976e+00	-6.796636418921209177e-01
2.257921446724195391e+01	-2.219011417536457031e+00	-7.291203189936942275e-01
2.261066184115176370e+01	-2.322555797714417558e+00	-7.775759030627887869e-01
2.264210921506156993e+01	-2.423803505054183294e+00	-8.249788216847526723e-01
2.267355658897137971e+01	-2.522654420170225897e+00	-8.712789422253430782e-01
2.270500396288118594e+01	-2.619010793758932643e+00	-9.164275779488491036e-01
2.273645133679099217e+01	-2.712777343258653939e+00	-9.603775026062036924e-01
2.276789871070080196e+01	-2.803861347070384369e+00	-1.003082957145251308e+00
2.279934608461060819e+01	-2.892172736246027664e+00	-1.044499668728903430e+00
2.283079345852041797e+01	-2.977624183553672310e+00	-1.084584866427890759e+00
2.286224083243022420e+01	-3.060131189831552412e+00	-1.123297294634819199e+00
2.289368820634003399e+01	-3.139612167545615673e+00	-1.160597239073408282e+00
2.292513558024984022e+01	-3.215988521467756822e+00	-1.196446538961688733e+00
2.295658295415964645e+01	-3.289184726395228964e+00	-1.230808611703737787e+00
2.298803032806945623e+01	-3.359128401834154953e+00	-1.263648473628304236e+00
2.301947770197926246e+01	-3.425750383573376467e+00	-1.294932756382580541e+00
2.305092507588907225e+01	-3.488984792077942654e+00	-1.324629733934261200e+00
2.308237244979887848e+01	-3.548769097634410841e+00	-1.352709336899424519e+00
2.311381982370868826e+01	-3.605044182183777757e+00	-1.379143176937001725e+00
2.314526719761849449e+01	-3.657754397780659250e+00	-1.403904567847128027e+00
2.317671457152830072e+01	-3.706847621621134348e+00	-1.426968536474401805e+00
2.320816194543811051e+01	-3.752275307584660879e+00	-1.448311848448781802e+00
2.323960931934791674e+01	-3.793992534239176706e+00	-1.467913023991375132e+00
2.327105669325772652e+01	-3.831958049261954269e+00	-1.485752350035646430e+00
2.330250406716753275e+01	-3.866134310232162807e+00	-1.501811901062794385e+00
2.333395144107733898e+01	-3.896487521754941064e+00	-1.516075549838469261e+00
2.336539881498714877e+01	-3.922987668880157042e+00	-1.528528978876408262e+00
2.339684618889695500e+01	-3.945608546782855885e+00	-1.539159695647851933e+00
2.342829356280676478e+01	-3.964327786676077547e+00	-1.547957039263279322e+00
2.345974093671657101e+01	-3.979126877930339923e+00	-1.554912190032504471e+00
2.349118831062638080e+01	-3.989991186377998655e+00	-1.560018178015969426e+00
2.352263568453618703e+01	-3.996909968784317257e+00	-1.563269885945969495e+00
2.355408305844599326e+01	-3.999876383470987395e+00	-1.564664056154714489e+00
2.358553043235580304e+01	-3.998887497081554887e+00	-1.564799603398909777e+00
2.361697780626560927e+01	-3.993944287482090516e+00	-1.565137345492932930e+00
2.364842518017541906e+01	-3.985051642794218196e+00	-1.565716981120377715e+00
2.367987255408522529e+01	-3.972218356561472152e+00	-1.566490333585216277e+00
2.371131992799503507e+01	-3.955457119053743309e+00	-1.567389213755249422e+00
2.374276730190484130e+01	-3.934784504718442211e+00	-1.568326842910005015e+00
2.377421467581464753e+01	-3.910220955790748132e+00	-1.569199700204262582e+00
2.380566204972445732e+01	-3.881790762079189605e+00	-1.569889553841226748e+00
2.383710942363426355e+01	-3.849522036946537717e+00	-1.570266008360725607e+00
2.386855679754407333e+01	-3.813446689509718990e+00	-1.570188941564821805e+00
2.390000417145387956e+01	-3.773600393086328886e+00	-1.569511294307458948e+00
2.393145154536368935e+01	-3.730022549918830865e+00	-1.568081829654671022e+00
2.396289891927349558e+01	-3.682756252211456083e+00	-1.565747871314727924e+00
2.399434629318330181e+01	-3.631848239518191246e+00	-1.562358034441417187e+00
2.402579366709311159e+01	-3.577348852524112388e+00	-1.557764708744966198e+00
2.405724104100291783e+01	-3.519311983265724031e+00	-1.551826426269007353e+00
2.408868841491272761e+01	-3.457795021839462635e+00	-1.544409995873159858e+00
2.412013578882253384e+01	-3.392858799651215396e+00	-1.535392334658509883e+00
2.415158316273234362e+01	-3.324567529262776322e+00	-1.524661994971144630e+00
2.418303053664214985e+01	-3.252988740894937170e+00	-1.512120488747205727e+00
2.421447791055195609e+01	-3.178193215649784076e+00	-1.497683171364028620e+00
2.424592528446176587e+01	-3.100254915518410925e+00	-1.481279891764623491e+00
2.427737265837157210e+01	-3.019250910243203911e+00	-1.462855330402816678e+00
2.430882003228138188e+01	-2.935261301106914189e+00	-1.442369062570749705e+00
2.434026740619118812e+01	-2.848369141724109710e+00	-1.419795364138340066e+00
2.437171478010099435e+01	-2.758660355913059803e+00	-1.395122860903052153e+00
2.440316215401080413e+01	-2.666223652729494464e+00	-1.368353774821935431e+00
2.443460952792061036e+01	-2.571150438746168554e+00	-1.339503286192117670e+00
2.446605690183042014e+01	-2.473534727664866484e+00	-1.308598684212121332e+00
2.449750427574022638e+01	-2.373473047350491694e+00	-1.275678243468528761e+00
